Member_name,verb_type,Calss ID
arouse,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
assuage,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
astonish,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
astound,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
awe,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
baffle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
befuddle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
beguile,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
bewilder,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
bewitch,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
boggle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
bore,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
bother,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
browbeat,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
bug,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
calm,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
captivate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
chagrin,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
charm,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
cheer,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
chill,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
cloy,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
comfort,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
concern,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
confound,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
confuse,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
console,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
content,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
convince,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
cow,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
crush,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
cut,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
daunt,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
daze,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
dazzle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
deject,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
delight,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
demolish,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
demoralize,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
depress,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
devastate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
disarm,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
discombobulate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
discomfit,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
disconcert,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
discourage,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
disgrace,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
disgruntle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
disgust,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
dishearten,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
dishonour,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
disillusion,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
dismay,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
dispirit,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
displease,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
disquiet,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
dissatisfy,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
distract,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
distress,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
disturb,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
divert,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
dumbfound,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
elate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
electrify,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
embarrass,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
embolden,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
enchant,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
encourage,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
enervate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
enflame,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
engage,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
engross,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
enlighten,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
enliven,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
enrage,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
enrapture,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
entertain,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
enthrall,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
enthuse,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
entice,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
entrance,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
exasperate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
excite,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
exhaust,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
exhilarate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
fascinate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
fatigue,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
faze,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
flatter,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
flummox,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
fox,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
frighten,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
frustrate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
fuddle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
gall,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
galvanize,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
gladden,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
gratify,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
grieve,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
harass,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
harm,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
haunt,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
hearten,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
horrify,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
humble,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
humiliate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
hurt,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
hypnotize,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
impair,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
impress,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
incense,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
inflame,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
infuriate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
inspire,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
insult,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
interest,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
intimidate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
intoxicate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
intrigue,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
invigorate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
irk,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
irritate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
jade,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
jar,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
jollify,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
jolt,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
kill,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
lull,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
madden,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
menace,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
mesmerize,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
miff,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
misguide,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
molest,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
mollify,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
mortify,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
move,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
muddle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
mystify,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
nauseate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
nettle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
nonplus,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
numb,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
obsess,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
occupy,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
offend,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
outrage,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
overawe,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
overwhelm,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
pacify,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
pain,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
peeve,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
perplex,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
perturb,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
pester,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
pique,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
placate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
plague,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
please,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
preoccupy,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
provoke,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
puzzle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
quench,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
rag,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
rankle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
ravish,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
reassure,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
recharge,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
refresh,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
rejuvenate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
relax,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
relieve,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
repel,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
repulse,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
revitalize,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
revolt,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
rile,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
ruffle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
sadden,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
satisfy,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
scandalize,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
scare,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
shake,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
shame,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
shock,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
sicken,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
sober,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
solace,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
soothe,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
spellbind,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
spook,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
stagger,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
startle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
stimulate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
sting,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
stir,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
strike,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
stump,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
stun,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
stupefy,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
surprise,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
tantalize,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
tempt,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
terrify,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
terrorize,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
threaten,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
thrill,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
throw,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
tickle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
tire,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
titillate,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
torment,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
torture,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
touch,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
transfix,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
transport,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
trouble,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
try,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
unnerve,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
unsettle,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
uplift,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
upset,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
vex,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
weary,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
worry,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
wound,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
wow,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
roil,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
smite,"Psych-Verbs (Verbs of Psychological
State)",amuse-31.1
baa,Verbs of Sounds Made by Animals,animal_sounds-38
bark,Verbs of Sounds Made by Animals,animal_sounds-38
bay,Verbs of Sounds Made by Animals,animal_sounds-38
bellow,Verbs of Sounds Made by Animals,animal_sounds-38
blat,Verbs of Sounds Made by Animals,animal_sounds-38
bleat,Verbs of Sounds Made by Animals,animal_sounds-38
bray,Verbs of Sounds Made by Animals,animal_sounds-38
buzz,Verbs of Sounds Made by Animals,animal_sounds-38
cackle,Verbs of Sounds Made by Animals,animal_sounds-38
call,Verbs of Sounds Made by Animals,animal_sounds-38
caw,Verbs of Sounds Made by Animals,animal_sounds-38
chatter,Verbs of Sounds Made by Animals,animal_sounds-38
cheep,Verbs of Sounds Made by Animals,animal_sounds-38
chirp,Verbs of Sounds Made by Animals,animal_sounds-38
chirrup,Verbs of Sounds Made by Animals,animal_sounds-38
chitter,Verbs of Sounds Made by Animals,animal_sounds-38
cluck,Verbs of Sounds Made by Animals,animal_sounds-38
coo,Verbs of Sounds Made by Animals,animal_sounds-38
croak,Verbs of Sounds Made by Animals,animal_sounds-38
crow,Verbs of Sounds Made by Animals,animal_sounds-38
cuckoo,Verbs of Sounds Made by Animals,animal_sounds-38
drone,Verbs of Sounds Made by Animals,animal_sounds-38
gobble,Verbs of Sounds Made by Animals,animal_sounds-38
growl,Verbs of Sounds Made by Animals,animal_sounds-38
grunt,Verbs of Sounds Made by Animals,animal_sounds-38
hee-haw,Verbs of Sounds Made by Animals,animal_sounds-38
hiss,Verbs of Sounds Made by Animals,animal_sounds-38
honk,Verbs of Sounds Made by Animals,animal_sounds-38
hoot,Verbs of Sounds Made by Animals,animal_sounds-38
howl,Verbs of Sounds Made by Animals,animal_sounds-38
ki-yi,Verbs of Sounds Made by Animals,animal_sounds-38
low,Verbs of Sounds Made by Animals,animal_sounds-38
meow,Verbs of Sounds Made by Animals,animal_sounds-38
mew,Verbs of Sounds Made by Animals,animal_sounds-38
moo,Verbs of Sounds Made by Animals,animal_sounds-38
neigh,Verbs of Sounds Made by Animals,animal_sounds-38
oink,Verbs of Sounds Made by Animals,animal_sounds-38
peep,Verbs of Sounds Made by Animals,animal_sounds-38
pipe,Verbs of Sounds Made by Animals,animal_sounds-38
purr,Verbs of Sounds Made by Animals,animal_sounds-38
quack,Verbs of Sounds Made by Animals,animal_sounds-38
roar,Verbs of Sounds Made by Animals,animal_sounds-38
rooroo,Verbs of Sounds Made by Animals,animal_sounds-38
scrawk,Verbs of Sounds Made by Animals,animal_sounds-38
squawk,Verbs of Sounds Made by Animals,animal_sounds-38
squeak,Verbs of Sounds Made by Animals,animal_sounds-38
squeal,Verbs of Sounds Made by Animals,animal_sounds-38
stridulate,Verbs of Sounds Made by Animals,animal_sounds-38
trill,Verbs of Sounds Made by Animals,animal_sounds-38
tweet,Verbs of Sounds Made by Animals,animal_sounds-38
twitter,Verbs of Sounds Made by Animals,animal_sounds-38
wail,Verbs of Sounds Made by Animals,animal_sounds-38
warble,Verbs of Sounds Made by Animals,animal_sounds-38
whimper,Verbs of Sounds Made by Animals,animal_sounds-38
whinny,Verbs of Sounds Made by Animals,animal_sounds-38
whistle,Verbs of Sounds Made by Animals,animal_sounds-38
woof,Verbs of Sounds Made by Animals,animal_sounds-38
yap,Verbs of Sounds Made by Animals,animal_sounds-38
yell,Verbs of Sounds Made by Animals,animal_sounds-38
yelp,Verbs of Sounds Made by Animals,animal_sounds-38
yip,Verbs of Sounds Made by Animals,animal_sounds-38
yowl,Verbs of Sounds Made by Animals,animal_sounds-38
boom,Verbs of Sounds Made by Animals,animal_sounds-38
rattle,Verbs of Sounds Made by Animals,animal_sounds-38
groan,Verbs of Sounds Made by Animals,animal_sounds-38
ululate,Verbs of Sounds Made by Animals,animal_sounds-38
moan,Verbs of Sounds Made by Animals,animal_sounds-38
rumble,Verbs of Sounds Made by Animals,animal_sounds-38
screech,Verbs of Sounds Made by Animals,animal_sounds-38
snarl,Verbs of Sounds Made by Animals,animal_sounds-38
thunder,Verbs of Sounds Made by Animals,animal_sounds-38
trumpet,Verbs of Sounds Made by Animals,animal_sounds-38
wheeze,Verbs of Sounds Made by Animals,animal_sounds-38
whine,Verbs of Sounds Made by Animals,animal_sounds-38
appear,"Verbs of Appearance, Disappearance, and Occurrence",appear-48.1.1
arise,"Verbs of Appearance, Disappearance, and Occurrence",appear-48.1.1
awake,"Verbs of Appearance, Disappearance, and Occurrence",appear-48.1.1
awaken,"Verbs of Appearance, Disappearance, and Occurrence",appear-48.1.1
break,"Verbs of Appearance, Disappearance, and Occurrence",appear-48.1.1
burst,"Verbs of Appearance, Disappearance, and Occurrence",appear-48.1.1
